"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name","year"
136,67,"Алапаевск",61.6763632930853,57.8267840385986,37.2,5,"условно комфортный климат",27,31,18,19,28,37,160,"https://api.индекс-городов.рф/uploads/city/emblem/11/thumb_11_Alapaevsk.png","Свердловская область","Малый город",2018
137,82,"Алатырь",46.5799197558372,54.8426727563054,34.2,5,"условно комфортный климат",34,33,23,33,26,34,183,"https://api.индекс-городов.рф/uploads/city/emblem/12/thumb_12_Alatyr.png","Чувашская Республика","Малый город",2018
138,1,"Алейск",82.7726436039505,52.4930824193266,29.2,5,"условно комфортный климат",44,24,34,18,16,30,166,"https://api.индекс-городов.рф/uploads/city/emblem/14/thumb_14_Aleysk.png","Алтайский край","Малый город",2018
139,39,"Александровск",57.5726464864071,59.165724068095,12.2,6,"условно комфортный климат",17,27,17,20,24,34,139,"https://api.индекс-городов.рф/uploads/city/emblem/15/thumb_15_Aleksandrovsk.png","Пермский край","Малый город",2018
140,5,"Алексеевка",38.6885170025982,50.6276450530444,38.2,5,"условно комфортный климат",42,26,15,28,29,27,167,"https://api.индекс-городов.рф/uploads/city/emblem/17/thumb_17_Alekseevka.png","Белгородская область","Малый город",2018
141,14,"Алзамай",98.6601830877134,55.5473593252844,5.8,6,"условно комфортный климат",13,17,10,7,10,29,86,"https://api.индекс-городов.рф/uploads/city/emblem/18/thumb_18_Alzamay.png","Иркутская область","Малый город",2018
142,53,"Алушта",34.401871960728,44.6745188658312,30,5,"условно комфортный климат",43,24,36,41,26,27,197,"https://api.индекс-городов.рф/uploads/city/emblem/20/thumb_20_Alushta.png","Республика Крым","Малый город",2018
143,78,"Амурск",136.877106731159,50.2832044188446,39,5,"условно комфортный климат",44,31,29,14,26,28,172,"https://api.индекс-городов.рф/uploads/city/emblem/21/thumb_21_Amursk.png","Хабаровский край","Малый город",2018
144,83,"Анадырь",177.416588025674,64.7196108620861,15.8,6,"тяжелые климатические условия",47,30,20,26,24,34,181,"https://api.индекс-городов.рф/uploads/city/emblem/22/thumb_22_Anadyr.png","Чукотский автономный округ","Малый город",2018
145,72,"Андреаполь",32.2617516819589,56.650962479834,7,6,"условно комфортный климат",29,27,28,19,17,31,151,"https://api.индекс-городов.рф/uploads/city/emblem/23/thumb_23_Andreapol.png","Тверская область","Малый город",2018
146,66,"Анива",142.525135374907,46.7203940675103,9.4,6,"условно комфортный климат",33,30,20,27,20,33,163,"https://api.индекс-городов.рф/uploads/city/emblem/24/thumb_24_Aniva.png","Сахалинская область","Малый город",2018
147,29,"Апрелевка",37.0594715885242,55.5441803230307,29.1,5,"условно комфортный климат",40,30,26,29,29,34,188,"https://api.индекс-городов.рф/uploads/city/emblem/25/thumb_25_Aprelevka.gif","Московская область","Малый город",2018
148,21,"Апшеронск",39.7271857714877,44.4543284634889,39.8,5,"условно комфортный климат",24,21,15,24,19,28,131,"https://api.индекс-городов.рф/uploads/city/emblem/26/thumb_26_Apsheronsk.png","Краснодарский край","Малый город",2018
