"","id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
"1",6708,449,"Абинск",38.15883683,44.87164352,39.2,41,"условно комфортный климат",30,29,20,23,22,39,163,"https://api.индекс-городов.рф/uploads/city/emblem/6708/thumb_3_Abinsk.jpg","Краснодарский край","Малый город"
"2",6709,471,"Агидель",53.99166109,55.87748003,13.9,42,"условно комфортный климат",35,49,27,25,29,38,203,"https://api.индекс-городов.рф/uploads/city/emblem/6709/thumb_4_Agidel.png","Республика Башкортостан","Малый город"
"3",6710,485,"Агрыз",52.9978375,56.51768928,19.7,42,"условно комфортный климат",38,33,27,21,23,38,180,"https://api.индекс-городов.рф/uploads/city/emblem/6710/thumb_5_Agriz.png","Республика Татарстан","Малый город"
"4",6711,469,"Адыгейск",39.19575511,44.87922409,12.9,42,"условно комфортный климат",49,33,24,24,27,33,190,"https://api.индекс-городов.рф/uploads/city/emblem/6711/thumb_6_Adygeysk.png","Республика Адыгея","Малый город"
"5",6712,485,"Азнакаево",53.07430401,54.86218169,33.7,41,"условно комфортный климат",37,34,20,29,34,42,196,"https://api.индекс-городов.рф/uploads/city/emblem/6712/thumb_7_Aznakeevo.png","Республика Татарстан","Малый город"
"6",6713,486,"Ак-Довурак",90.59956415,51.17833757,13.8,42,"условно комфортный климат",36,18,19,33,13,27,146,"https://api.индекс-городов.рф/uploads/city/emblem/6713/thumb_8_Ak-Dovurak.png","Республика Тыва","Малый город"
"7",6714,491,"Аксай",39.86602961,47.27226514,46.6,41,"условно комфортный климат",51,31,26,35,26,43,212,"https://api.индекс-городов.рф/uploads/city/emblem/6714/thumb_9_Aksay.png","Ростовская область","Малый город"
"8",6715,484,"Алагир",44.22109469,43.04740231,19.7,42,"условно комфортный климат",28,32,19,17,25,34,155,NA,"Республика Северная Осетия - Алания","Малый город"
"9",6716,496,"Алапаевск",61.67636329,57.82678404,37,41,"условно комфортный климат",38,28,16,20,34,40,176,"https://api.индекс-городов.рф/uploads/city/emblem/6716/thumb_11_Alapaevsk.png","Свердловская область","Малый город"
"10",6717,490,"Алатырь",46.57991976,54.84267276,33,41,"условно комфортный климат",34,29,25,30,33,37,188,"https://api.индекс-городов.рф/uploads/city/emblem/6717/thumb_12_Alatyr.png","Чувашская Республика","Малый город"
"11",6720,466,"Александровск",57.57264649,59.16572407,11.7,42,"условно комфортный климат",21,37,29,18,27,38,170,"https://api.индекс-городов.рф/uploads/city/emblem/6720/thumb_15_Aleksandrovsk.png","Пермский край","Малый город"
"12",6721,495,"Александровск-Сахалинский",142.1616749,50.8936206,9.1,42,"тяжелые климатические условия",20,23,30,20,22,34,149,"https://api.индекс-городов.рф/uploads/city/emblem/6721/thumb_16_Aleksandrovsk-Sakhalinsky.png","Сахалинская область","Малый город"
"13",6722,433,"Алексеевка",38.688517,50.62764505,37.6,41,"условно комфортный климат",32,23,23,28,32,39,177,"https://api.индекс-городов.рф/uploads/city/emblem/6722/thumb_17_Alekseevka.png","Белгородская область","Малый город"
"14",6723,442,"Алзамай",98.66018309,55.54735933,5.7,42,"условно комфортный климат",14,24,14,7,16,31,106,"https://api.индекс-городов.рф/uploads/city/emblem/6723/thumb_18_Alzamay.png","Иркутская область","Малый город"
"15",6724,480,"Алупка",34.04328839,44.41827925,8.1,42,"условно комфортный климат",42,43,44,37,27,42,235,"https://api.индекс-городов.рф/uploads/city/emblem/6724/thumb_19_Alupka.png","Республика Крым","Малый город"
"16",6726,505,"Амурск",136.8771067,50.28320442,38.7,41,"условно комфортный климат",41,32,33,14,26,38,184,"https://api.индекс-городов.рф/uploads/city/emblem/6726/thumb_21_Amursk.png","Хабаровский край","Малый город"
"17",6727,508,"Анадырь",177.416588,64.71961086,15.2,42,"тяжелые климатические условия",52,39,26,31,22,42,212,"https://api.индекс-городов.рф/uploads/city/emblem/6727/thumb_22_Anadyr.png","Чукотский автономный округ","Малый город"
"18",6728,500,"Андреаполь",32.26175168,56.65096248,6.7,42,"условно комфортный климат",35,34,26,19,25,36,175,"https://api.индекс-городов.рф/uploads/city/emblem/6728/thumb_23_Andreapol.png","Тверская область","Малый город"
"19",6729,495,"Анива",142.5251354,46.72039407,9.3,42,"условно комфортный климат",32,43,29,25,23,38,190,"https://api.индекс-городов.рф/uploads/city/emblem/6729/thumb_24_Aniva.png","Сахалинская область","Малый город"
"20",6730,456,"Апрелевка",37.05947159,55.54418032,32.4,41,"условно комфортный климат",45,34,24,35,25,40,203,"https://api.индекс-городов.рф/uploads/city/emblem/6730/thumb_25_Aprelevka.gif","Московская область","Малый город"
"21",6731,449,"Апшеронск",39.72718577,44.45432846,39.2,41,"условно комфортный климат",37,25,17,23,21,38,161,"https://api.индекс-городов.рф/uploads/city/emblem/6731/thumb_26_Apsheronsk.png","Краснодарский край","Малый город"
"22",6732,496,"Арамиль",60.85089573,56.69629602,15.8,42,"условно комфортный климат",36,45,16,27,24,32,180,"https://api.индекс-городов.рф/uploads/city/emblem/6732/thumb_27_Aramil.png","Свердловская область","Малый город"
"23",6733,489,"Аргун",45.88494246,43.28991895,40.3,41,"условно комфортный климат",29,26,14,14,21,37,141,"https://api.индекс-городов.рф/uploads/city/emblem/6733/thumb_28_Argun.png","Чеченская Республика","Малый город"
